,Station code,waterbody,srcStateName,Minimum temperature of water for different water bodies,Maximum temperature of water for different water bodies,Minimum dissolved oxygen.,Maximum dissolved oxygen,Minimum potential of Hydrogen(Ph) values.,Maximum potential of Hydrogen(Ph) values.,Minimum conductivity required for water quality for different water bodies,Maximum conductivity required for water quality for different water bodies,Minimum biochemical oxygen demand (BOD) required for water quality,Maximum biochemical oxygen demand (BOD) required for water quality,Minimum  of Nitrate N + Nitrite N required for different water bodies,Maximum  of Nitrate N + Nitrite N required for different water bodies,Minimum  of Faecal Coliforms(coliform bacteria is associated with faecal matter) .,Maximum   of Faecal Coliforms(coliform bacteria is associated with faecal matter) .,Minimum  of total coliform required for different water bodies,Maximum  of total coliform required for different water bodies,srcYear,YearCode
669,,CANAL,WEST BENGAL,20,33,0,0,7.05,8.12,694,1056,13.8,63,0.09,5.02,900000,9000000,1700000,16000000,2018,2018
670,,Coastal/ Creek/ Marine/ Sea Water (under NWMP),GOA,25.3,32,4.2,11.1,6.46,8.45,200,47260,0.4,4.6,0.31,56.785,2300,13000,4900,24000,2018,2018
671,,Coastal/ Creek/ Marine/ Sea Water (under NWMP),GOA,27,30,5.9,7.1,7.07,8.3,42750,58270,0.3,4.7,0.03,3.058,49,350,94,920,2018,2018
672,,Coastal/ Creek/ Marine/ Sea Water (under NWMP),GOA,26.9,30,5.3,8,7.1,8.1,27.25,58720,0.1,7.2,0.025,22.118,7.8,1700,23,5400,2018,2018
673,,Coastal/ Creek/ Marine/ Sea Water (under NWMP),GOA,28,30,5,7.6,6.53,8.3,23480,58950,1.2,4.1,0.062,1.853,23,3500,33,9200,2018,2018
674,,Coastal/ Creek/ Marine/ Sea Water (under NWMP),GOA,28,29,5.9,7,7.4,8.23,43910,58880,0.7,6,0.011,4.303,4.5,1100,23,2200,2018,2018
675,,Coastal/ Creek/ Marine/ Sea Water (under NWMP),GUJARAT,27,34,5.2,6.45,7.3,8.36,681,8127,1.05,3.1,0.062,0.174,9,148,98,345,2018,2018
676,,Coastal/ Creek/ Marine/ Sea Water (under NWMP),GUJARAT,29,33,0,3.3,7.3,8.05,1300,7900,4,44,0.061,1.491,39,130,270,470,2018,2018
677,,Coastal/ Creek/ Marine/ Sea Water (under NWMP),GUJARAT,29,32,0,6.58,6.4,8.14,827,7600,1.34,96,0.139,1.044,70,260,270,1400,2018,2018
678,,Coastal/ Creek/ Marine/ Sea Water (under NWMP),MAHARASHTRA,26,32,3.2,5.3,6.9,8.1,785,60260,7,18,1.2,5.6,7.8,920,120,1600,2018,2018
679,20041,STP,TAMIL NADU,,,,,7.6,7.6,,,6,24,,,170,2200,350,4100,2019,2019
680,,Coastal/ Creek/ Marine/ Sea Water (under NWMP),MAHARASHTRA,19,32,3.5,5.6,6.9,8.3,920,57060,6,18,1.4,6.9,6.8,280,79,920,2018,2018
681,,Coastal/ Creek/ Marine/ Sea Water (under NWMP),MAHARASHTRA,27,32,1.2,7.2,6.7,8.1,95,15240,3,22,0.1,13.7,6.1,130,21,540,2018,2018
682,,Coastal/ Creek/ Marine/ Sea Water (under NWMP),MAHARASHTRA,26,37,3.3,6.5,6.7,8,250,35020,4,18,1.8,10.8,17,220,120,920,2018,2018
683,,Coastal/ Creek/ Marine/ Sea Water (under NWMP),MAHARASHTRA,25,35,2.9,5.5,6.7,7.9,316,34930,6,22,1.1,11.8,22,350,170,920,2018,2018
684,,Coastal/ Creek/ Marine/ Sea Water (under NWMP),MAHARASHTRA,26,35,2.6,5.9,6.7,8,303,44080,5,18,0.8,7.6,22,540,140,920,2018,2018
685,,Coastal/ Creek/ Marine/ Sea Water (under NWMP),MAHARASHTRA,26,35,2.8,5.9,6.8,8,521,44080,5,22,1.9,7.7,27,920,130,1600,2018,2018
686,,Coastal/ Creek/ Marine/ Sea Water (under NWMP),MAHARASHTRA,26,32,3.3,6,6.9,8,382,46760,4,18,1.7,6.7,21,920,110,1600,2018,2018
687,2165,SEA,MAHARASHTRA,25,32,3.2,5,6.9,7.7,18250,65760,9,16,0.8,4,33,1600,540,1600,2019,2019
688,2166,SEA,MAHARASHTRA,25,34,3.2,4.9,7,7.9,18290,66240,8,17,0.9,1.7,46,1600,210,1600,2019,2019
689,2167,SEA,MAHARASHTRA,26,34,3.2,4.8,6.9,7.9,18500,66760,9,16,0.31,2,49,920,240,1600,2019,2019
690,2169,SEA,MAHARASHTRA,24,39,3.8,7.2,6.4,8.2,182,65470,3,14,0.2,1.5,11,1600,40,1600,2019,2019
691,2048,DRAIN,CHANDIGARH,16,31,,,7.2,7.9,680,1196,58,341,0.68,16,172,130000000,220000,542000000,2019,2019
692,3861,DRAIN,HIMACHAL PRADESH,10,28,6.5,8.9,6.9,8.2,388,550,0.5,1.5,0.07,1.7,14,26,33,120,2019,2019
693,3865,DRAIN,HIMACHAL PRADESH,14,32,5,8.9,6.7,8.2,288,568,0.4,1.4,0.02,1.11,17,22,31,58,2019,2019
694,3875,DRAIN,HIMACHAL PRADESH,23,23,5.3,8.5,7,8.1,177,855,0.3,12,0.11,1.5,17,40,32,430,2019,2019
695,3879,DRAIN,HIMACHAL PRADESH,20,28,5.1,7.2,6.9,8.3,638,5950,1.9,24,0.11,3.82,11,170,40,920,2019,2019
696,3881,DRAIN,HIMACHAL PRADESH,19,29,4.1,8.4,7.1,8.3,712,6220,2,110,0.11,1.58,13,194,70,920,2019,2019
697,4029,DRAIN,HIMACHAL PRADESH,13,25,5.9,8.3,6.7,8.3,271,671,0.3,2,0.1,0.75,14,32,38,140,2019,2019
698,4034,DRAIN,HIMACHAL PRADESH,3,12,8,9,7.2,7.9,120,385,0.1,0.3,0.16,1.5,2,4,34,110,2019,2019
699,4035,DRAIN,HIMACHAL PRADESH,3,12,8,9,7.1,7.9,133,392,0.1,0.5,0.16,1.39,2,4,47,110,2019,2019
700,4425,DRAIN,HIMACHAL PRADESH,6,18,7,9.5,7.4,8.4,101,8920,0.3,1.1,0.23,1.65,2,26,34,1600,2019,2019
701,4430,DRAIN,HIMACHAL PRADESH,9,28,5.2,8.4,7,8.3,288,3907,4.8,12,0.18,7.39,7,1600,540,1600,2019,2019
702,4462,DRAIN,HIMACHAL PRADESH,7,22,7.2,9.1,8.1,8.3,172,21590,0.3,0.9,0.39,4.14,2,14,21,48,2019,2019
703,4463,DRAIN,HIMACHAL PRADESH,7,21,7.7,9.5,7.9,8.3,85,36950,0.5,0.9,0.37,0.52,2,9,17,84,2019,2019
704,4474,DRAIN,HIMACHAL PRADESH,8,9,9.2,9.6,7.7,8.4,99,2537,0.3,0.6,0.19,0.73,9,82,63,150,2019,2019
705,4475,DRAIN,HIMACHAL PRADESH,8,10,9,9.4,7.3,8.5,119,1388,0.5,0.8,0.2,0.55,9,34,110,220,2019,2019
706,4476,DRAIN,HIMACHAL PRADESH,9,12,8.7,12,7.5,8.3,46,81,0.1,0.1,,,13,33,110,210,2019,2019
707,4477,DRAIN,HIMACHAL PRADESH,11,17,7.9,11.4,7.2,8.3,99,225,0.1,0.1,,,13,21,70,140,2019,2019
708,4480,DRAIN,HIMACHAL PRADESH,,,5.2,5.5,7.6,8.1,588,720,0.4,1.2,,,13,20,40,120,2019,2019
709,4481,DRAIN,HIMACHAL PRADESH,11,23,7.5,8.1,7.1,8.5,306,416,0.1,0.2,0.11,0.32,2,2,40,46,2019,2019
710,4482,DRAIN,HIMACHAL PRADESH,12,24,7.4,8.2,7.8,8.2,285,2860,0.1,0.1,0.09,0.09,2,2,38,43,2019,2019
711,2763,DRAIN,KARNATAKA,19,24,4.2,8.1,7.5,8.4,192,1400,0.3,2.7,1.01,13,220,1000,900,1800,2019,2019
712,2049,DRAIN,CHANDIGARH,16,29,,,7.2,7.7,586,1251,71,230,2.1,73.9,7000,17200000,21000,54200000,2019,2019
713,2047,DRAIN,CHANDIGARH,16,29,,0.1,7.3,7.8,499,865,,141,0.6,8,240,7900000,542,24000000,2019,2019
714,2178,DRAIN,MAHARASHTRA,20,36,3.6,6.1,7,7.9,214,1254,3,28,0.7,9.27,4,17,210,540,2019,2019
715,20017,STP,KERALA,,,,,6.9,8.6,,,20,380,,,,,,,2019,2019
716,2790,DRAIN,MAHARASHTRA,24,30,3.7,7,6.6,7.9,146,56020,1.8,13,0.04,0.8,4,920,21,920,2019,2019
717,3923,DRAIN,ODISHA,20,35,2.8,8,6.4,8.4,186,531,2.9,8.5,0.42,14.99,1100,160000,3500,160000,2019,2019
718,3930,DRAIN,ODISHA,20,28,6.2,9.2,6.8,7.9,479,1408,0.4,1.9,0.16,1.25,20,1300,45,3500,2019,2019
719,3934,DRAIN,ODISHA,16,29,6.2,8.1,6.9,8.1,153,598,0.9,1.6,0.13,7.74,45,1300,92,13000,2019,2019
720,3939,DRAIN,ODISHA,14,26,5.8,8.6,6.5,7.7,88,235,0.5,1.8,0.11,0.62,68,2400,170,4900,2019,2019
721,10056,DRAIN,TAMIL NADU,,,,,7,7.6,1743,3180,28,54,0.45,4.05,110,110,1400,71600,2019,2019
722,2782,DRAIN,MAHARASHTRA,24,37,,5.7,6.7,8,165,62120,5,210,0.3,2.5,70,1600,220,1600,2019,2019
723,2783,DRAIN,MAHARASHTRA,24,37,,7,6.4,8.2,169,63040,4,150,0.8,3.4,84,1600,280,1600,2019,2019
724,2784,DRAIN,MAHARASHTRA,24,32,,7.2,6.5,7.9,143,36300,3,160,0.4,5.5,33,1600,120,1600,2019,2019
725,2785,DRAIN,MAHARASHTRA,22,37,,6.2,6.3,8.1,93,17720,4,1100,0.3,28.7,13,1600,47,1600,2019,2019
726,2786,DRAIN,MAHARASHTRA,24,29,,6.5,6.5,7.2,94,10480,4,550,0.3,17.1,17,41,46,220,2019,2019
727,2787,DRAIN,MAHARASHTRA,24,29,,6.8,6.6,7.1,95,5742,4,240,0.4,7.5,17,27,79,170,2019,2019
728,2788,DRAIN,MAHARASHTRA,24,29,,6.9,6.7,7.9,95,7835,4,625,0.4,12,5,32,21,120,2019,2019
729,4158,DRAIN,PUNJAB,14,38,,2.9,7.2,8.1,582,2787,16,288,0.4,1.23,2700,13000,21000,43000,2019,2019
730,2906,DRAIN,PUNJAB,12,26,,,7,7.6,3112,5425,93,240,0.93,4.61,9400,2800000,210000,4300000,2019,2019
731,2907,DRAIN,PUNJAB,13,30,,,7,7.9,776,1766,46,110,2,5.2,33000,170000,70000,210000,2019,2019
732,2908,INDUSTRIAL DRAIN,PUNJAB,11,32,,,7.1,8,774,1392,17,100,0.53,2.4,3800,49000,28000,110000,2019,2019
733,2789,DRAIN,MAHARASHTRA,7,30,2.4,7.7,7.3,8.4,3,1426,1.1,8,,30,30,350,550,1800,2019,2019
734,10047,NALLAH,TAMIL NADU,35,35,3.2,3.2,7.3,7.4,2370,3260,21,24,3.05,6.5,2,3500,210,16000,2019,2019
735,10048,NALLAH,TAMIL NADU,32,36,,3.4,7.1,7.4,1186,3090,20,26,1,9.3,2,270,110,2200,2019,2019
736,20013,STP,GOA,,,,,5.9,8.3,,,3.2,700,,,24000000,24000000,54000000,54000000,2019,2019
737,20015,STP,GUJARAT,25,28,,,7.1,8,,,19,159,,,33,1600,350,1600,2019,2019
738,20016,STP,GUJARAT,28,30,,,7.1,7.5,,,24,109,,,46,1600,350,1600,2019,2019
739,20018,STP,ODISHA,,,,,6.7,7.1,,,3.5,200.5,,,54000,160000,54000,160000,2019,2019
740,20019,STP,ODISHA,,,,,6.9,7.8,,,14.5,172.7,,,2,160000,2,160000,2019,2019
741,20020,STP,ODISHA,,,,,6.8,7.5,,,17.3,84.1,,,24000,160000,54000,160000,2019,2019
742,20021,STP,PUNJAB,,,,,7.2,7.4,,,28,120,,,,,,,2019,2019
743,20022,STP,PUNJAB,23,34,,,6.2,7.6,,,38,173,,,11000,11000,,,2019,2019
744,20025,STP,PUNJAB,,,,,6.8,7.9,,,26,114,,,,,,,2019,2019
745,20026,STP,PUNJAB,,,,,7.8,8.9,,,26,83,,,,,,,2019,2019
746,20027,STP,PUNJAB,,,,,6.8,8.1,,,34,118,,,,,,,2019,2019
747,20028,STP,PUNJAB,,,,,7.1,7.9,,,26,98,,,,,,,2019,2019
748,20032,STP,TAMIL NADU,28,33,5.3,5.5,7.2,8.7,2240,2520,5,10,0.55,0.95,2,2,2,140,2019,2019
749,20034,STP,TAMIL NADU,26,36,5.5,5.5,7.4,7.7,334,334,5,15,3.05,3.05,2,260,140,2200,2019,2019
750,20035,STP,TAMIL NADU,26,33,1.8,1.8,7.4,7.7,2270,2270,5,13,1.05,1.05,2,330,200,2400,2019,2019
751,20038,STP,TAMIL NADU,29,29,,,7.1,7.8,1496,1496,0.9,83,3.81,3.81,27,630,79,1700,2019,2019
752,20040,STP,TAMIL NADU,30,30,,,7.3,7.5,1218,1249,33,50,3.13,9,610,630,1500,1700,2019,2019
753,20043,STP,TAMIL NADU,30,30,,,7.3,7.5,1218,1249,33,50,3.11,8.8,610,630,1500,1700,2019,2019
754,20044,STP,TAMIL NADU,30,30,,,6.7,6.9,1332,1349,70,70,0.76,2,1200,1700,2800,3200,2019,2019
755,20045,STP,TAMIL NADU,26,26,,,6.8,6.8,1048,1048,2.5,2.5,0.4,0.4,1700,1700,7000,7000,2019,2019
756,20047,STP,TAMIL NADU,30,32,,,6.9,7.1,1383,1414,75,80,1.95,8.2,1100,1400,2600,3400,2019,2019
757,20048,STP,UTTARAKHAND,19,21,9.2,10.2,7.9,8.1,105,292,1,1,,,40,60,110,170,2019,2019
758,20049,STP,UTTARAKHAND,19,28,8.8,10.2,7.8,8.4,272,390,1,1,,,40,70,90,170,2019,2019
759,3041,WATER TREATMENT PLANT (RAW WATER),DELHI,,,8.6,8.6,7.8,8,351,527,1.2,1.2,0.04,7.38,1300,1700,2400,2800,2019,2019
760,3043,WATER TREATMENT PLANT (RAW WATER),DELHI,,,8.6,8.6,7.8,8,351,527,1.2,1.2,0.04,7.38,1300,1700,2400,2800,2019,2019
